㞘底	toʔ˥ ti˥˧
㞞	zoŋ˨˩˧
㪗	tʰei˥˧
㪗气	tʰei˥˧ ʨʰi˥
㪗氣	tʰei˥˧ ʨʰi˥
㪗被头	tʰei˥˧ bi˩˧ dei
㪗被頭	tʰei˥˧ bi˩˧ dei
㫰竿	lɑŋ˩˧ kɛ̃˧
㫰衣裳架儿	lɑŋ˩˧ ʔo˧ zɑŋ˧ ʨiɑ˥ əl˧˩
㫰衣裳架兒	lɑŋ˩˧ ʔo˧ zɑŋ˧ ʨiɑ˥ əl˧˩
㷟毛	tʰui˥ mɔ˨˩˧
㽹恼恼	fɛ̃˥ nɔ˧˩ nɔ˧˩
㽹惱惱	fɛ̃˥ nɔ˧˩ nɔ˧˩
㿭	ʦʰɑʔ˥
䐥䐥臭	ʔoŋ˥˧ ʔoŋ˧˩ ʦʰei˥
䠷杆儿	diɔ˧˩ kɛ̃˥˧ əl˧˩
䠷杆兒	diɔ˧˩ kɛ̃˥˧ əl˧˩
䢚䢚儿	kɑŋ˧ kɑŋ˧ əl˧
䢚䢚兒	kɑŋ˧ kɑŋ˧ əl˧
䥛	ʨiəʔ˥
䫽肉	pʰɔ˧ zoʔ˥
䫽貨	pʰɔ˧ hu˧
䫽货	pʰɔ˧ hu˧
䶕牙齒	bɑ˧˩ ɦiɑ˩˧ ʦʰɿ˥˧
䶕牙齿	bɑ˧˩ ɦiɑ˩˧ ʦʰɿ˥˧
一	ʔiəʔ˥
一万二	ʔiəʔ˥ vɛ̃˩˧ əl˥
一两个	ʔiəʔ˥ liɑŋ˥˧ koʔ˥
一两里路	ʔiəʔ˥ liɑŋ˥˧ li˥˧ lu˩˧
一个半	ʔiəʔ˥ koʔ˥ puõ˥
一个老早	ʔiəʔ˥ koʔ˥ lɔ˩˧ ʦɔ˥˧
一个角子	ʔiəʔ˥ koʔ˥ koʔ˥ ʦɿ
一乾二淨	ʔiəʔ˥ kɛ̃˧ əl˥ ʥin˧˩
一二不过三	ʔiəʔ˥ əl˨˩˧ pəʔ˨ ku˥ sɛ̃˧
一二不過三	ʔiəʔ˥ əl˨˩˧ pəʔ˨ ku˥ sɛ̃˧
一個半	ʔiəʔ˥ koʔ˥ puõ˥
一個老早	ʔiəʔ˥ koʔ˥ lɔ˩˧ ʦɔ˥˧
一個角子	ʔiəʔ˥ koʔ˥ koʔ˥ ʦɿ
一兩個	ʔiəʔ˥ liɑŋ˥˧ koʔ˥
一兩裏路	ʔiəʔ˥ liɑŋ˥˧ li˥˧ lu˩˧
一刀两断	ʔiəʔ˥ tɔ˧ liɑŋ˥˧ duõ˩˧
一刀兩斷	ʔiəʔ˥ tɔ˧ liɑŋ˥˧ duõ˩˧
一千	ʔiəʔ˥ ʨʰiɛ̃˧
一古脑儿	ʔiəʔ˥ ku˥˧ nɔ˧˩ əl˧˩
一古腦兒	ʔiəʔ˥ ku˥˧ nɔ˧˩ əl˧˩
一句話語	ʔiəʔ˥ ʨy˥ ɦuɑ˩˧ y˥˧
一句话语	ʔiəʔ˥ ʨy˥ ɦuɑ˩˧ y˥˧
一只爹一只娘	ʔiəʔ˥ ʦɑʔ˥ tiɑ˧ ʔʔiəʔ˥ tɑsq˥ niɑŋ˨˩˧
一只鼎	ʔiəʔ˥ ʦɑʔ˥ tin˥˧
